Year,Player,Role,Total Runs,Total Fours,Total Sixes,Total Wickets,Total Dots,Total 50s
2008,Bharat chipli,Batsman,20,3,0,21,0,0
2008,Cameron white,Batsman,114,8,4,0,0,1
2008,Devraj patil,Batsman,13,1,0,21,0,0
2008,Jagadeesh arunkumar,Batsman,23,5,0,21,0,0
2008,Rahul dravid,Batsman,371,35,11,2,4,0
2008,Shivnarine chanderpaul,Batsman,25,4,0,21,0,0
2008,Virat kohli,Batsman,165,18,4,2,0,1
2008,Wasim jaffer,Batsman,115,12,3,1,5,0
2008,Mark boucher,Wicket-keeper,225,24,6,1,5,0
2008,Shreevats goswami,Wicket-keeper,82,9,1,1,5,0
2008,Ashley noffke,All-rounder,9,1,0,1,0,1
2008,Sunil joshi,All-rounder,6,0,0,1,0,1
2008,Abdur razzak,Bowler,0,0,0,0,0,1
2008,Anil kumble,Bowler,13,1,0,7,0,1
2008,Balachandra akhil,Bowler,46,4,3,2,0,1
2008,Dale steyn,Bowler,2,0,0,10,0,1
2008,Praveen kumar,Bowler,112,10,6,11,0,1
2008,Vinay kumar,Bowler,25,2,1,5,0,1
2008,Zaheer khan,Bowler,34,4,0,13,0,1
2009,Kevin pietersen,Batsman,93,8,2,4,0,1
2009,Manish pandey,Batsman,168,17,4,16,0,0
2009,Rahul dravid,Batsman,271,28,3,1,5,0
2009,Robin uthappa,Batsman,175,18,3,1,5,0
2009,Virat kohli,Batsman,246,22,8,0,0,1
2009,Wasim jaffer,Batsman,15,2,0,20,0,0
2009,Mark boucher,Wicket-keeper,150,8,6,14,0,0
2009,Shreevats goswami,Wicket-keeper,53,6,0,20,0,0
2009,Dillon du preez,All-rounder,10,0,0,4,0,1
2009,Jesse ryder,All-rounder,56,9,0,3,0,1
2009,Roelof van der merwe,All-rounder,122,8,8,9,0,1
2009,Anil kumble,Bowler,16,2,0,21,0,1
2009,Balachandra akhil,Bowler,17,1,1,4,0,1
2009,Dale steyn,Bowler,0,0,0,2,0,1
2009,Karn sharma,Bowler,1,0,0,20,0,0
2009,Kp appanna,Bowler,0,0,0,2,0,1
2009,Pankaj singh,Bowler,1,0,0,2,0,1
2009,Praveen kumar,Bowler,65,1,6,13,0,1
2009,Vinay kumar,Bowler,47,4,1,9,0,1
2010,Cameron white,Batsman,48,3,3,0,0,1
2010,Eoin morgan,Batsman,35,2,1,22,0,0
2010,Kevin pietersen,Batsman,236,23,8,3,0,2
2010,Manish pandey,Batsman,249,27,7,16,0,0
2010,Rahul dravid,Batsman,256,34,3,1,6,0
2010,Robin uthappa,Batsman,374,21,27,3,4,0
2010,Sridharan sriram,Batsman,27,3,0,0,0,1
2010,Virat kohli,Batsman,307,26,12,0,0,1
2010,Mark boucher,Wicket-keeper,13,0,1,22,0,0
2010,Shreevats goswami,Wicket-keeper,8,2,0,23,0,0
2010,Roelof van der merwe,All-rounder,1,0,0,2,0,1
2010,Anil kumble,Bowler,6,0,0,17,0,1
2010,Balachandra akhil,Bowler,-,0,1,0,0,0
2010,Dale steyn,Bowler,13,2,0,15,0,1
2010,Kp appanna,Bowler,2,0,0,1,0,1
2010,Nayan doshi,Bowler,-,0,1,0,0,0
2010,Pankaj singh,Bowler,1,0,0,2,0,1
2010,Praveen kumar,Bowler,4,0,0,10,0,1
2010,Vinay kumar,Bowler,27,1,0,16,0,1
2011,Arun karthik,Batsman,7,1,0,20,0,0
2011,Cheteshwar pujara,Batsman,34,4,0,20,0,0
2011,Luke pomersbach,Batsman,51,4,2,18,0,0
2011,Mayank agarwal,Batsman,141,16,4,16,0,0
2011,Mohammad kaif,Batsman,41,5,0,20,0,0
2011,Saurabh tiwary,Batsman,187,13,5,15,0,0
2011,Virat kohli,Batsman,557,55,16,2,0,4
2011,Ab de villiers,Wicket-keeper,312,21,14,2,4,0
2011,Chris gayle,All-rounder,608,56,44,8,0,3
2011,Daniel vettori,All-rounder,23,1,1,12,0,5
2011,Johan van der wath,All-rounder,18,1,1,3,0,5
2011,Ryan ninan,All-rounder,3,0,0,3,0,5
2011,Abrar kazi,Bowler,-,0,5,0,0,0
2011,Asad pathan,Bowler,33,5,2,0,0,5
2011,Charl langeveldt,Bowler,8,0,1,5,0,5
2011,Dirk nannes,Bowler,-,0,5,0,0,0
2011,Jamaluddin syed mohammad,Bowler,15,2,0,5,0,5
2011,Sreenath aravind,Bowler,13,2,0,21,0,5
2011,Zaheer khan,Bowler,21,2,0,14,0,5
2012,Cheteshwar pujara,Batsman,17,1,1,19,0,0
2012,Mayank agarwal,Batsman,225,19,15,1,6,0
2012,Mohammad kaif,Batsman,14,1,0,20,0,0
2012,Saurabh tiwary,Batsman,191,9,8,12,0,0
2012,Virat kohli,Batsman,364,33,9,0,0,2
2012,Ab de villiers,Wicket-keeper,319,26,15,3,4,0
2012,Andrew mcdonald,All-rounder,47,6,2,5,0,1
2012,Chris gayle,All-rounder,733,46,59,0,0,7
2012,Daniel vettori,All-rounder,31,3,1,5,0,1
2012,Raju bhatkal,All-rounder,0,0,0,0,0,1
2012,Asad pathan,Bowler,6,0,0,0,0,1
2012,Harshal patel,Bowler,15,1,0,9,0,1
2012,Jamaluddin syed mohammad,Bowler,4,1,0,0,0,1
2012,Kp appanna,Bowler,-,0,1,0,0,0
2012,Muttiah muralitharan,Bowler,6,0,0,15,0,1
2012,Prasanth parameswaran,Bowler,0,0,0,5,0,1
2012,Sreenath aravind,Bowler,14,3,0,0,0,1
2012,Vinay kumar,Bowler,68,3,2,19,0,1
2012,Zaheer khan,Bowler,12,1,0,17,0,1
2013,Abhinav mukund,Batsman,19,1,0,26,0,0
2013,Arun karthik,Batsman,41,3,1,25,0,0
2013,Cheteshwar pujara,Batsman,92,14,0,1,5,0
2013,Karun nair,Batsman,9,0,0,26,0,0
2013,Lokesh rahul,Batsman,20,4,0,26,0,0
2013,Mayank agarwal,Batsman,67,6,3,23,0,0
2013,Saurabh tiwary,Batsman,109,4,4,1,5,0
2013,Virat kohli,Batsman,634,64,22,6,1,0
2013,Ab de villiers,Wicket-keeper,360,34,15,2,4,0
2013,Andrew mcdonald,All-rounder,0,0,0,1,0,9
2013,Chris gayle,All-rounder,708,57,51,3,0,4
2013,Daniel christian,All-rounder,6,0,0,0,0,9
2013,Moises henriques,All-rounder,165,20,3,7,0,9
2013,Jamaluddin syed mohammad,Bowler,10,1,0,3,0,9
2013,Jaydev unadkat,Bowler,2,0,0,13,0,9
2013,Murali kartik,Bowler,2,0,0,9,0,9
2013,Muttiah muralitharan,Bowler,-,0,9,0,0,0
2013,Ravi rampaul,Bowler,38,3,1,13,0,9
2013,Rp singh,Bowler,-,0,9,0,0,0
2013,Vinay kumar,Bowler,70,6,3,23,0,9
2013,Zaheer khan,Bowler,-,0,9,0,0,0
2014,Nic maddinson,Batsman,16,3,0,25,0,0
2014,Vijay zol,Batsman,29,3,1,24,0,0
2014,Virat kohli,Batsman,359,23,16,2,5,0
2014,Yogesh takawale,Batsman,104,17,1,24,0,0
2014,Yuvraj singh,Batsman,376,22,28,5,0,3
2014,Ab de villiers,Wicket-keeper,395,26,24,3,4,0
2014,Parthiv patel,Wicket-keeper,205,30,1,1,6,0
2014,Albie morkel,All-rounder,45,1,3,4,0,1
2014,Chris gayle,All-rounder,196,18,12,13,0,0
2014,Abu nechim,Bowler,4,1,0,3,0,1
2014,Ashok dinda,Bowler,4,0,0,5,0,1
2014,Harshal patel,Bowler,13,1,1,4,0,1
2014,Mitchell starc,Bowler,85,9,0,14,0,1
2014,Muttiah muralitharan,Bowler,-,0,1,0,0,0
2014,Ravi rampaul,Bowler,13,0,1,1,0,1
2014,Sachin rana,Bowler,73,7,1,0,0,1
2014,Shadab jakati,Bowler,-,0,1,0,0,0
2014,Varun aaron,Bowler,35,2,1,16,0,1
2014,Yuzvendra chahal,Bowler,1,0,0,12,0,1
2015,Nic maddinson,Batsman,4,1,0,23,0,0
2015,Sarfaraz khan,Batsman,111,12,2,21,0,0
2015,Virat kohli,Batsman,505,35,23,0,2,3
2015,Ab de villiers,Wicket-keeper,513,60,22,2,5,0
2015,Dinesh karthik,Wicket-keeper,141,15,4,19,0,0
2015,Chris gayle,All-rounder,491,39,38,0,4,2
2015,Darren sammy,All-rounder,13,0,0,0,3,62
2015,Iqbal abdulla,All-rounder,20,4,0,4,46,37
2015,Mandeep singh,All-rounder,157,17,6,1,6,0
2015,Sean abbott,All-rounder,15,1,1,0,6,59
2015,Abu nechim,Bowler,10,2,0,1,27,44
2015,Ashok dinda,Bowler,-,5,60,0,0,0
2015,Harshal patel,Bowler,19,0,2,17,111,11
2015,Mitchell starc,Bowler,11,1,0,20,113,10
2015,Sreenath aravind,Bowler,0,0,0,8,47,36
2015,Varun aaron,Bowler,6,0,1,3,47,36
2015,Yuzvendra chahal,Bowler,1,0,0,23,91,17
2016,Kedar jadhav,Batsman,42,2,2,18,0,0
2016,Lokesh rahul,Batsman,397,37,16,4,5,0
2016,Sachin baby,Batsman,119,9,5,2,5,66
2016,Sarfaraz khan,Batsman,66,7,4,16,0,0
