Season,Team,Bat_Player,Bat_Mat,Bat_Inns,Bat_NO,Bat_Runs,Bat_HS,Bat_Ave,Bat_BF,Bat_SR,Bat_100,Bat_50,Bat_0,Bat_4s,Bat_6s,Bat_,Bowl_Player,Bowl_Mat,Bowl_Inns,Bowl_Overs,Bowl_Mdns,Bowl_Runs,Bowl_Wkts,Bowl_BBI,Bowl_Ave,Bowl_Econ,Bowl_SR,Bowl_4,Bowl_5,Bowl_
2008,Chennai Super Kings,AB de Villiers,2,2,0,61,36,30.50,48,127.08,0,0,0,6,1,,J Botha,2,2,6.0,0,23,3,2/15,7.66,3.83,12.0,0,0,
2008,Chennai Super Kings,SM Pollock,1,1,1,36,36*,-,25,144.00,0,0,0,2,2,,M Morkel,2,2,6.0,0,37,2,1/15,18.50,6.16,18.0,0,0,
2008,Chennai Super Kings,JA Morkel,2,2,1,34,28*,34.00,22,154.54,0,0,0,2,2,,M Ntini,1,1,4.0,0,22,2,2/22,11.00,5.50,12.0,0,0,
2008,Chennai Super Kings,LE Bosman,1,1,0,28,28,28.00,18,155.55,0,0,0,4,1,,DW Steyn,1,1,3.0,0,18,2,2/18,9.00,6.00,9.0,0,0,
2008,Chennai Super Kings,JL Ontong,2,2,0,20,14,10.00,28,71.42,0,0,0,0,0,,RK Kleinveldt,1,1,1.0,0,20,1,1/20,20.00,20.00,6.0,0,0,
2008,Chennai Super Kings,JP Duminy,2,2,0,19,13,9.50,19,100.00,0,0,0,2,0,,JL Ontong,2,1,2.0,0,25,1,1/25,25.00,12.50,12.0,0,0,
2008,Chennai Super Kings,HH Gibbs,2,2,0,18,18,9.00,13,138.46,0,0,1,4,0,,SM Pollock,1,1,4.0,0,19,1,1/19,19.00,4.75,24.0,0,0,
2008,Chennai Super Kings,MV Boucher,1,1,0,6,6,6.00,17,35.29,0,0,0,0,0,,J Louw,1,1,3.0,0,18,0,-,-,6.00,-,0,0,
2008,Chennai Super Kings,GC Smith,1,1,0,4,4,4.00,4,100.00,0,0,0,0,0,,JA Morkel,2,2,5.0,0,29,0,-,-,5.80,-,0,0,
2008,Chennai Super Kings,RK Kleinveldt,1,1,1,3,3*,-,3,100.00,0,0,0,0,0,,LE Bosman,1,-,-,-,-,-,-,-,-,-,-,-,
2008,Chennai Super Kings,J Botha,2,1,0,1,1,1.00,2,50.00,0,0,0,0,0,,MV Boucher,1,-,-,-,-,-,-,-,-,-,-,-,
2008,Chennai Super Kings,J Louw,1,1,1,1,1*,-,1,100.00,0,0,0,0,0,,AB de Villiers,2,-,-,-,-,-,-,-,-,-,-,-,
2008,Chennai Super Kings,M Morkel,2,-,-,-,-,-,-,-,-,-,-,-,-,,JP Duminy,2,-,-,-,-,-,-,-,-,-,-,-,
2008,Chennai Super Kings,M Ntini,1,-,-,-,-,-,-,-,-,-,-,-,-,,HH Gibbs,2,-,-,-,-,-,-,-,-,-,-,-,
2008,Chennai Super Kings,DW Steyn,1,-,-,-,-,-,-,-,-,-,-,-,-,,GC Smith,1,-,-,-,-,-,-,-,-,-,-,-,
2008,Mumbai Indians,IK Pathan,1,1,0,26,26,26.00,30,86.66,0,0,0,0,0,,P Kumar,1,1,2.0,0,15,1,1/15,15.00,7.50,12.0,0,0,
2008,Mumbai Indians,MS Dhoni,1,1,0,9,9,9.00,27,33.33,0,0,0,0,0,,Harbhajan Singh,1,1,2.0,0,7,0,-,-,3.50,-,0,0,
2008,Mumbai Indians,G Gambhir,1,1,0,9,9,9.00,6,150.00,0,0,0,1,0,,IK Pathan,1,1,3.0,0,18,0,-,-,6.00,-,0,0,
2008,Mumbai Indians,KD Karthik,1,1,0,8,8,8.00,8,100.00,0,0,0,1,0,,I Sharma,1,1,1.2,0,8,0,-,-,6.00,-,0,0,
2008,Mumbai Indians,RG Sharma,1,1,0,8,8,8.00,8,100.00,0,0,0,1,0,,S Sreesanth,1,1,3.0,0,25,0,-,-,8.33,-,0,0,
2008,Mumbai Indians,P Kumar,1,1,0,6,6,6.00,10,60.00,0,0,0,0,0,,MS Dhoni,1,-,-,-,-,-,-,-,-,-,-,-,
2008,Mumbai Indians,I Sharma,1,1,1,3,3*,-,6,50.00,0,0,0,0,0,,G Gambhir,1,-,-,-,-,-,-,-,-,-,-,-,
2008,Mumbai Indians,Harbhajan Singh,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,,KD Karthik,1,-,-,-,-,-,-,-,-,-,-,-,
2008,Mumbai Indians,RV Uthappa,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,,V Sehwag,1,-,-,-,-,-,-,-,-,-,-,-,
2008,Mumbai Indians,V Sehwag,1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,,RG Sharma,1,-,-,-,-,-,-,-,-,-,-,-,
2008,Mumbai Indians,S Sreesanth,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,,RV Uthappa,1,-,-,-,-,-,-,-,-,-,-,-,
2008,Rajasthan Royals,TM Dilshan,4,4,1,66,33,22.00,67,98.50,0,0,1,5,1,,BAW Mendis,3,3,12.0,1,55,11,4/15,5.00,4.58,6.5,2,0,
2008,Rajasthan Royals,ML Udawatte,3,3,0,66,25,22.00,55,120.00,0,0,0,6,2,,CRD Fernando,4,4,14.0,0,112,5,3/24,22.40,8.00,16.8,0,0,
2008,Rajasthan Royals,J Mubarak,3,3,0,64,39,21.33,59,108.47,0,0,0,8,0,,MF Maharoof,3,3,12.0,0,63,5,2/18,12.60,5.25,14.4,0,0,
2008,Rajasthan Royals,ST Jayasuriya,3,3,0,62,40,20.66,55,112.72,0,0,0,6,3,,K Weeraratne,3,3,11.0,0,71,4,4/19,17.75,6.45,16.5,1,0,
2008,Rajasthan Royals,CK Kapugedera,3,3,2,62,27,62.00,61,101.63,0,0,0,6,1,,LHD Dilhara,2,2,5.0,0,30,2,2/6,15.00,6.00,15.0,0,0,
2008,Rajasthan Royals,DPMD Jayawardene,3,3,0,40,35,13.33,33,121.21,0,0,1,6,0,,T Thushara,3,3,11.0,0,74,2,1/19,37.00,6.72,33.0,0,0,
2008,Rajasthan Royals,K Weeraratne,3,3,1,36,20*,18.00,31,116.12,0,0,0,3,1,,KMDN Kulasekara,2,2,7.5,0,59,1,1/23,59.00,7.53,47.0,0,0,
2008,Rajasthan Royals,KMDN Kulasekara,2,2,1,20,19*,20.00,9,222.22,0,0,0,0,2,,ST Jayasuriya,3,1,4.0,0,33,0,-,-,8.25,-,0,0,
2008,Rajasthan Royals,HGJM Kulatunga,2,2,0,19,11,9.50,38,50.00,0,0,0,0,0,,TM Dilshan,4,-,-,-,-,-,-,-,-,-,-,-,
2008,Rajasthan Royals,LHD Dilhara,2,1,1,18,18*,-,9,200.00,0,0,0,0,1,,DPMD Jayawardene,3,-,-,-,-,-,-,-,-,-,-,-,
2008,Rajasthan Royals,MF Maharoof,3,2,1,15,13*,15.00,17,88.23,0,0,0,0,1,,SHT Kandamby,3,-,-,-,-,-,-,-,-,-,-,-,
2008,Rajasthan Royals,SHT Kandamby,3,3,0,11,10,3.66,18,61.11,0,0,1,0,0,,CK Kapugedera,3,-,-,-,-,-,-,-,-,-,-,-,
2008,Rajasthan Royals,T Thushara,3,1,0,1,1,1.00,2,50.00,0,0,0,0,0,,HGJM Kulatunga,2,-,-,-,-,-,-,-,-,-,-,-,
2008,Rajasthan Royals,CRD Fernando,4,1,1,0,0*,-,0,-,0,0,0,0,0,,J Mubarak,3,-,-,-,-,-,-,-,-,-,-,-,
2008,Rajasthan Royals,BAW Mendis,3,-,-,-,-,-,-,-,-,-,-,-,-,,ML Udawatte,3,-,-,-,-,-,-,-,-,-,-,-,
2009,Chennai Super Kings,JP Duminy,12,12,4,284,78,35.50,229,124.01,0,2,1,24,6,,DW Steyn,11,11,41.0,0,315,16,3/38,19.68,7.68,15.3,0,0,
2009,Chennai Super Kings,GC Smith,8,8,0,278,88,34.75,204,136.27,0,1,0,32,11,,RE van der Merwe,9,9,34.0,0,221,12,2/14,18.41,6.50,17.0,0,0,
2009,Chennai Super Kings,JH Kallis,7,7,1,249,64,41.50,199,125.12,0,2,0,30,4,,WD Parnell,8,8,28.5,0,192,11,4/13,17.45,6.65,15.7,1,0,
2009,Chennai Super Kings,AB de Villiers,11,11,2,227,79*,25.22,159,142.76,0,2,2,21,7,,JA Morkel,12,12,29.4,1,268,9,2/15,29.77,9.03,19.7,0,0,
2009,Chennai Super Kings,HH Gibbs,10,10,0,159,55,15.90,133,119.54,0,1,1,15,4,,J Botha,11,11,39.0,0,245,8,3/16,30.62,6.28,29.2,0,0,
2009,Chennai Super Kings,JA Morkel,12,11,4,159,37,22.71,106,150.00,0,0,0,13,8,,R McLaren,2,2,8.0,0,59,4,3/33,14.75,7.37,12.0,0,0,
2009,Chennai Super Kings,LE Bosman,2,2,0,152,94,76.00,76,200.00,0,2,0,10,13,,JP Duminy,12,4,6.0,0,41,3,1/3,13.66,6.83,12.0,0,0,
2009,Chennai Super Kings,MV Boucher,11,9,4,105,36*,21.00,92,114.13,0,0,0,7,2,,JH Kallis,7,6,13.0,0,103,3,2/20,34.33,7.92,26.0,0,0,
2009,Chennai Super Kings,HM Amla,2,2,0,52,26,26.00,50,104.00,0,0,0,4,1,,RJ Peterson,2,2,6.0,0,46,3,3/30,15.33,7.66,12.0,0,0,
2009,Chennai Super Kings,RE van der Merwe,9,3,0,49,48,16.33,39,125.64,0,0,1,2,4,,YA Abdulla,2,2,7.0,0,44,2,1/16,22.00,6.28,21.0,0,0,
2009,Chennai Super Kings,RJ Peterson,2,1,0,34,34,34.00,27,125.92,0,0,0,3,2,,J Louw,1,1,4.0,0,36,2,2/36,18.00,9.00,12.0,0,0,
2009,Chennai Super Kings,J Botha,11,5,5,22,7*,-,18,122.22,0,0,0,2,0,,M Morkel,2,2,7.5,0,55,2,2/32,27.50,7.02,23.5,0,0,
2009,Chennai Super Kings,VB van Jaarsveld,3,3,0,15,12,5.00,23,65.21,0,0,1,0,0,,M Ntini,1,1,4.0,0,40,2,2/40,20.00,10.00,12.0,0,0,
2009,Chennai Super Kings,ND McKenzie,1,1,1,7,7*,-,8,87.50,0,0,0,0,0,,CK Langeveldt,1,1,4.0,0,39,1,1/39,39.00,9.75,24.0,0,0,
2009,Chennai Super Kings,HG Kuhn,1,1,1,5,5*,-,4,125.00,0,0,0,0,0,,LL Tsotsobe,1,1,2.0,0,16,1,1/16,16.00,8.00,12.0,0,0,
2009,Chennai Super Kings,R McLaren,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,,HM Amla,2,-,-,-,-,-,-,-,-,-,-,-,
2009,Chennai Super Kings,DW Steyn,11,1,0,1,1,1.00,2,50.00,0,0,0,0,0,,LE Bosman,2,-,-,-,-,-,-,-,-,-,-,-,
2009,Chennai Super Kings,LL Tsotsobe,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0,,MV Boucher,11,-,-,-,-,-,-,-,-,-,-,-,
2009,Chennai Super Kings,M Ntini,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,,AB de Villiers,11,-,-,-,-,-,-,-,-,-,-,-,
2009,Chennai Super Kings,YA Abdulla,2,-,-,-,-,-,-,-,-,-,-,-,-,,HH Gibbs,10,-,-,-,-,-,-,-,-,-,-,-,
2009,Chennai Super Kings,CK Langeveldt,1,-,-,-,-,-,-,-,-,-,-,-,-,,HG Kuhn,1,-,-,-,-,-,-,-,-,-,-,-,
2009,Chennai Super Kings,J Louw,1,-,-,-,-,-,-,-,-,-,-,-,-,,ND McKenzie,1,-,-,-,-,-,-,-,-,-,-,-,
2009,Chennai Super Kings,M Morkel,2,-,-,-,-,-,-,-,-,-,-,-,-,,JL Ontong,1,-,-,-,-,-,-,-,-,-,-,-,
2009,Chennai Super Kings,JL Ontong,1,-,-,-,-,-,-,-,-,-,-,-,-,,GC Smith,8,-,-,-,-,-,-,-,-,-,-,-,
2009,Chennai Super Kings,WD Parnell,8,-,-,-,-,-,-,-,-,-,-,-,-,,VB van Jaarsveld,3,-,-,-,-,-,-,-,-,-,-,-,
