team,year,position,top_scorer,top_wickets
chennai-super-kings,2024,5,583|  Ruturaj Gaikwad,17|  Tushar Deshpande
chennai-super-kings,2023,2,672|  Devon Conway,21|  Tushar Deshpande
chennai-super-kings,2022,9,368|  Ruturaj Gaikwad,16|  Dwayne Bravo
chennai-super-kings,2021,1,635|  Ruturaj Gaikwad,21|  Shardul Thakur
chennai-super-kings,2020,7,449|  Faf du Plessis,13|  Sam Curran
chennai-super-kings,2019,2,416|  MS Dhoni,26|  Imran Tahir
chennai-super-kings,2018,1,602|  Ambati Rayudu,16|  Shardul Thakur
chennai-super-kings,2015,2,436|  Brendon McCullum,26|  Dwayne Bravo
chennai-super-kings,2014,3,566|  Dwayne Smith,23|  Mohit Sharma
chennai-super-kings,2013,2,733|  Michael Hussey,32|  Dwayne Bravo
chennai-super-kings,2012,2,441|  Suresh Raina,14|  Ben Hilfenhaus
chennai-super-kings,2011,1,492|  Michael Hussey,20|  Ravichandran Ashwin
chennai-super-kings,2010,1,520|  Suresh Raina,15|  Muttiah Muralitharan
chennai-super-kings,2009,4,572|  Matthew Hayden,14|  Muttiah Muralitharan
chennai-super-kings,2008,2,421|  Suresh Raina,17|  Albie Morkel
delhi-capitals,2024,6,446|  Rishabh Pant,17|  Khaleel Ahmed
delhi-capitals,2023,9,516|  David Warner,12|  Mitchell Marsh
delhi-capitals,2022,5,432|  David Warner,21|  Kuldeep Yadav
delhi-capitals,2021,3,587|  Shikhar Dhawan,24|  Avesh Khan
delhi-capitals,2020,2,618|  Shikhar Dhawan,30|  Kagiso Rabada
delhi-capitals,2019,3,521|  Shikhar Dhawan,25|  Kagiso Rabada
delhi-capitals,2018,8,684|  Rishabh Pant,18|  Trent Boult
delhi-capitals,2017,6,386|  Sanju Samson,15|  Pat Cummins
delhi-capitals,2016,6,445|  Quinton de Kock,13|  Amit Mishra
delhi-capitals,2015,7,439|  Shreyas Iyer,15|  Nathan Coulter-Nile
delhi-capitals,2014,8,410|  JP Duminy,9|  Imran Tahir
delhi-capitals,2013,9,410|  David Warner,16|  Umesh Yadav
delhi-capitals,2012,3,495|  Virender Sehwag,25|  Morne Morkel
delhi-capitals,2011,10,424|  Virender Sehwag,13|  Morne Morkel
delhi-capitals,2010,5,356|  Virender Sehwag,17|  Amit Mishra
delhi-capitals,2009,3,465|  AB de Villiers,19|  Ashish Nehra
delhi-capitals,2008,4,534|  Gautam Gambhir,16|  Yo Mahesh
gujarat-titans,2024,8,527|  Sai Sudharsan,13|  Mohit Sharma
gujarat-titans,2023,1,890|  Shubman Gill,28|  Mohammad Shami
gujarat-titans,2022,1,487|  Hardik Pandya,20|  Mohammad Shami
kolkata-knight-riders,2024,1,488|  Sunil Narine,21|  Varun Chakaravarthy
kolkata-knight-riders,2023,7,474|  Rinku Singh,20|  Varun Chakaravarthy
kolkata-knight-riders,2022,7,401|  Shreyas Iyer,17|  Andre Russell
kolkata-knight-riders,2021,2,478|  Shubman Gill,18|  Varun Chakaravarthy
kolkata-knight-riders,2020,5,440|  Shubman Gill,17|  Varun Chakaravarthy
kolkata-knight-riders,2019,5,510|  Andre Russell,11|  Andre Russell
kolkata-knight-riders,2018,3,498|  Dinesh Karthik,17|  Sunil Narine
kolkata-knight-riders,2017,3,498|  Gautam Gambhir,17|  Chris Woakes
kolkata-knight-riders,2016,4,501|  Gautam Gambhir,15|  Andre Russell
kolkata-knight-riders,2015,5,364|  Robin Uthappa,14|  Andre Russell
kolkata-knight-riders,2014,1,660|  Robin Uthappa,21|  Sunil Narine
kolkata-knight-riders,2013,7,406|  Gautam Gambhir,22|  Sunil Narine
kolkata-knight-riders,2012,1,590|  Gautam Gambhir,24|  Sunil Narine
kolkata-knight-riders,2011,4,424|  Jacques Kallis,16|  Iqbal Abdulla
kolkata-knight-riders,2010,6,493|  Sourav Ganguly,9|  Ashok Dinda
kolkata-knight-riders,2009,8,365|  Brad Hodge,11|  Ishant Sharma
kolkata-knight-riders,2008,6,349|  Sourav Ganguly,12|  Umar Gul
lucknow-super-giants,2024,7,520|  K L Rahul,14|  Naveen-Ul-Haq
lucknow-super-giants,2023,3,408|  Marcus Stoinis,16|  Ravi Bishnoi
lucknow-super-giants,2022,4,616|  K L Rahul,18|  Avesh Khan
mumbai-indians,2024,10,417|  Rohit Sharma,20|  Jasprit Bumrah
mumbai-indians,2023,4,605|  Suryakumar Yadav,22|  Piyush Chawla
mumbai-indians,2022,10,418|  Ishan Kishan,15|  Jasprit Bumrah
mumbai-indians,2021,5,381|  Rohit Sharma,21|  Jasprit Bumrah
mumbai-indians,2020,1,516|  Ishan Kishan,27|  Jasprit Bumrah
mumbai-indians,2019,1,529|  Quinton de Kock,19|  Jasprit Bumrah
mumbai-indians,2018,5,512|  Suryakumar Yadav,18|  Hardik Pandya
mumbai-indians,2017,1,395|  Parthiv Patel,20|  Jasprit Bumrah
mumbai-indians,2016,5,489|  Rohit Sharma,17|  Mitchell McClenaghan
mumbai-indians,2015,1,540|  Lendl Simmons,24|  Lasith Malinga
mumbai-indians,2014,4,394|  Lendl Simmons,16|  Lasith Malinga
mumbai-indians,2013,1,538|  Rohit Sharma,24|  Harbhajan Singh
mumbai-indians,2012,4,433|  Rohit Sharma,22|  Lasith Malinga
mumbai-indians,2011,3,553|  Sachin Tendulkar,28|  Lasith Malinga
mumbai-indians,2010,2,618|  Sachin Tendulkar,17|  Harbhajan Singh
mumbai-indians,2009,7,372|  JP Duminy,18|  Lasith Malinga
mumbai-indians,2008,5,518|  Sanath Jayasuriya,12|  Ashish Nehra
punjab-kings,2024,9,354|  Shashank Singh,24|  Harshal Patel
punjab-kings,2023,8,373|  Shikhar Dhawan,17|  Arshdeep Singh
punjab-kings,2022,6,460|  Shikhar Dhawan,23|  Kagiso Rabada
punjab-kings,2021,6,626|  KL Rahul,19|  Mohammad Shami
punjab-kings,2020,6,670|  KL Rahul,20|  Mohammad Shami
punjab-kings,2019,6,593|  KL Rahul,19|  Mohammad Shami
punjab-kings,2018,7,659|  KL Rahul,24|  Andrew Tye
punjab-kings,2017,5,420|  Hashim Amla,17|  Sandeep Sharma
punjab-kings,2016,8,453|  Murali Vijay,15|  Sandeep Sharma
punjab-kings,2015,8,357|  David Miller,15|  Anureet Singh
punjab-kings,2014,2,552|  Glenn Maxwell,18|  Sandeep Sharma
punjab-kings,2013,6,418|  David Miller,15|  Parvinder Awana
punjab-kings,2012,6,432|  Mandeep Singh,17|  Parvinder Awana
punjab-kings,2011,5,504|  Shaun Marsh,16|  Piyush Chawla
punjab-kings,2010,8,439|  Mahela Jayawardene,15|  Irfan Pathan
punjab-kings,2009,5,340|  Yuvraj Singh,17|  Irfan Pathan
punjab-kings,2008,3,616|  Shaun Marsh,19|  Shanthakumaran Sreesanth
rajasthan-royals,2024,3,573|  Riyan Parag,19|  Avesh Khan
rajasthan-royals,2023,5,625|  Yashasvi Jaiswal,21|  Yuzvendra Chahal
rajasthan-royals,2022,2,863|  Jos Buttler,27|  Yuzvendra Chahal
rajasthan-royals,2021,7,484|  Sanju Samson,15|  Chris Morris
rajasthan-royals,2020,8,375|  Sanju Samson,20|  Jofra Archer
rajasthan-royals,2019,7,393|  Ajinkya Rahane,20|  Shreyas Gopal
rajasthan-royals,2018,4,548|  Jos Buttler,15|  Jofra Archer
rajasthan-royals,2015,4,540|  Ajinkya Rahane,13|  Chris Morris
rajasthan-royals,2014,5,339|  Ajinkya Rahane,15|  Pravin Tambe
rajasthan-royals,2013,3,543|  Shane Watson,28|  James Faulkner
rajasthan-royals,2012,7,560|  Ajinkya Rahane,13|  Siddharth Trivedi
rajasthan-royals,2011,6,343|  Rahul Dravid,13|  Shane Warne
rajasthan-royals,2010,7,377|  Naman Ojha,11|  Siddharth Trivedi
rajasthan-royals,2009,6,295|  Ravindra Jadeja,16|  Munaf Patel
rajasthan-royals,2008,1,472|  Shane Watson,22|  Sohail Tanvir
sunrisers-hyderabad,2024,2,567|  Travis Head,19|  T Natarajan
sunrisers-hyderabad,2023,10,448|  Heinrich Klaasen,16|  Bhuvneshwar Kumar
sunrisers-hyderabad,2022,8,426|  Abhishek Sharma,22|  Umran Malik
sunrisers-hyderabad,2021,8,292|  Manish Pandey,18|  Rashid Khan
sunrisers-hyderabad,2020,3,548|  David Warner,20|  Rashid Khan
sunrisers-hyderabad,2019,4,692|  David Warner,19|  Khaleel Ahmed
sunrisers-hyderabad,2018,2,735|  Kane Williamson,21|  Siddarth Kaul
sunrisers-hyderabad,2017,4,641|  David Warner,26|  Bhuvneshwar Kumar
sunrisers-hyderabad,2016,1,848|  David Warner,23|  Bhuvneshwar Kumar
sunrisers-hyderabad,2015,6,562|  David Warner,18|  Bhuvneshwar Kumar
sunrisers-hyderabad,2014,6,528|  David Warner,20|  Bhuvneshwar Kumar
sunrisers-hyderabad,2013,4,311|  Shikhar Dhawan,21|  Amit Mishra
